"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"GBR","Europe","United Kingdom","10/1/2022 12:00:00 AM","23672856.000","","","206865.000","","","351850.328","","","3074.640","","","","","","","","","","","","","67281040.000","272.898","40.800","18.517","12.527","39753.244","0.200","122.137","4.280","20.000","24.700","","","81.320"
"GNQ","Africa","Equatorial Guinea","10/1/2022 12:00:00 AM","17012.000","0.000","0.429","183.000","0.000","0.000","10408.292","0.000","0.262","111.963","0.000","0.000","","","","","","","","","","","1634466.000","45.194","22.400","2.846","1.752","22604.873","","202.812","7.780","","","24.640","","58.740"
"SDN","Africa","Sudan","10/1/2022 12:00:00 AM","63285.000","0.000","0.000","4961.000","0.000","0.000","1386.090","0.000","0.000","108.658","0.000","0.000","","","","","","","","","","","45657202.000","23.258","19.700","3.548","2.034","4466.507","","431.388","15.670","","","23.437","","65.310"
"CYM","North America","Cayman Islands","10/1/2022 12:00:00 AM","30661.000","","","32.000","0.000","0.143","449997.065","","","469.649","0.000","2.097","","","","","","","","","","","68136.000","256.496","","","","49903.029","","","13.220","","","","","83.920"
"GRC","Europe","Greece","10/1/2022 12:00:00 AM","4920192.000","","","33111.000","","","471040.696","","","3169.923","","","","","","","","","","","","","10445365.000","83.479","45.300","20.396","14.524","24574.382","1.500","175.695","4.550","35.300","52.000","","","82.240"
"MLT","Europe","Malta","10/1/2022 12:00:00 AM","114710.000","18.000","22.857","806.000","0.000","0.286","217770.167","34.172","43.393","1530.143","0.000","0.542","","","","","","","","","","","526748.000","1454.037","42.400","19.426","11.324","36513.323","0.200","168.711","8.830","20.900","30.200","","","82.530"
"TTO","North America","Trinidad and Tobago","10/1/2022 12:00:00 AM","183181.000","","","4207.000","","","120066.489","","","2757.490","","","","","","","","","","","","","1525663.000","266.886","36.200","10.014","5.819","28763.071","","228.467","10.970","","","89.443","","73.510"
"AZE","Asia","Azerbaijan","10/1/2022 12:00:00 AM","821532.000","92.000","124.286","9919.000","2.000","2.286","79659.909","8.921","12.051","961.797","0.194","0.222","","","","","","","","","","","10312992.000","119.309","32.400","6.018","3.871","15847.419","","559.812","7.110","0.300","42.500","83.241","","73.000"
"TJK","Asia","Tajikistan","10/1/2022 12:00:00 AM","17786.000","0.000","0.000","125.000","0.000","0.000","1824.193","0.000","0.000","12.820","0.000","0.000","","","","","","","","","","","9750064.000","64.281","23.300","3.466","2.155","2896.913","4.800","427.698","7.110","","","72.704","","71.100"
"EGY","Africa","Egypt","10/1/2022 12:00:00 AM","515645.000","0.000","0.000","24797.000","0.000","0.000","4719.337","0.000","0.000","226.950","0.000","0.000","","","","","","","","","","","109262178.000","97.999","25.300","5.159","2.891","10550.206","1.300","525.432","17.310","0.200","50.100","89.827","","71.990"
"YEM","Asia","Yemen","10/1/2022 12:00:00 AM","11935.000","0.000","0.000","2157.000","0.000","0.000","361.868","0.000","0.000","65.400","0.000","0.000","","","","","","","","","","","32981641.000","53.508","20.300","2.922","1.583","1479.147","18.800","495.003","5.350","7.600","29.200","49.542","","66.120"
"CHE","Europe","Switzerland","10/1/2022 12:00:00 AM","4103959.000","","","14009.000","0.000","1.571","472185.858","","","1611.822","0.000","0.181","","","","","","","","","","","8691406.000","214.243","43.100","18.436","12.644","57410.166","","99.739","5.590","22.600","28.900","","","83.780"
"NPL","Asia","Nepal","10/1/2022 12:00:00 AM","999759.000","17.000","32.000","12018.000","0.000","0.143","33286.478","0.566","1.065","400.133","0.000","0.005","","","","","","","","","","","30034989.000","204.430","25.000","5.809","3.212","2442.804","15.000","260.797","7.260","9.500","37.800","47.782","","70.780"
"MDA","Europe","Moldova","10/1/2022 12:00:00 AM","589437.000","","","11844.000","","","192531.715","","","3868.684","","","","","","","","","","","","","3061506.000","123.655","37.600","10.864","6.955","5189.972","0.200","408.502","5.720","5.900","44.600","86.979","","71.900"
