"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"AUS","Oceania","Australia","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","26177410.000","3.202","37.900","15.504","10.129","44648.710","0.500","107.791","5.070","13.000","16.500","","","83.440"
"MYS","Asia","Malaysia","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","33938216.000","96.254","29.900","6.293","3.407","26808.164","0.100","260.942","16.740","1.000","42.400","","","76.160"
"AUT","Europe","Austria","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","8939617.000","106.749","44.400","19.202","13.748","45436.686","0.700","145.183","6.350","28.400","30.900","","","81.540"
"DEU","Europe","Germany","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","83369840.000","237.016","46.600","21.453","15.957","45229.245","","156.139","8.310","28.200","33.100","","","81.330"
"KOR","Asia","South Korea","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","51815808.000","527.967","43.400","13.914","8.622","35938.374","0.200","85.998","6.800","6.200","40.900","","","83.030"
"NLD","Europe","Netherlands","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","17564020.000","508.544","43.200","18.779","11.881","48472.545","","109.361","5.290","24.400","27.300","","","82.280"
"ISR","Asia","Israel","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","9449000.000","402.606","30.600","11.733","7.359","33132.320","0.500","93.320","6.740","15.400","35.400","","","82.970"
"DNK","Europe","Denmark","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","5882259.000","136.520","42.300","19.677","12.325","46682.515","0.200","114.767","6.410","19.300","18.800","","","80.900"
"FIN","Europe","Finland","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","5540745.000","18.136","42.800","21.228","13.264","40585.721","","153.507","5.760","18.300","22.600","","","81.910"
"RUS","Europe","Russia","12/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","144713312.000","8.823","39.600","14.178","9.393","24765.954","0.100","431.297","6.180","23.400","58.300","","","72.580"
"GTM","North America","Guatemala","12/1/2022 12:00:00 AM","1157543.000","1075.000","851.571","19952.000","1.000","1.286","64870.465","60.245","47.723","1118.140","0.056","0.072","","","","","","","","","","","17843914.000","157.834","22.900","4.694","3.016","7423.808","8.700","155.898","10.180","","","76.665","","74.300"
"FLK","South America","Falkland Islands","12/1/2022 12:00:00 AM","1930.000","0.000","0.000","","","","507761.115","0.000","0.000","","","","","","","","","","","","","","3801.000","","","","","","","","","","","","","81.440"
"VNM","Asia","Vietnam","12/1/2022 12:00:00 AM","11516489.000","581.000","473.714","43176.000","1.000","0.857","117291.555","5.917","4.825","439.733","0.010","0.009","","","","","","","","","","","98186856.000","308.127","32.600","7.150","4.718","6171.884","2.000","245.465","6.000","1.000","45.900","85.847","","75.400"
"TZA","Africa","Tanzania","12/1/2022 12:00:00 AM","40656.000","","","845.000","0.000","0.000","620.724","","","12.901","0.000","0.000","","","","","","","","","","","65497752.000","64.699","17.700","3.108","1.874","2683.304","49.100","217.288","5.750","3.300","26.700","47.953","","65.460"
"ATG","North America","Antigua and Barbuda","12/1/2022 12:00:00 AM","9106.000","0.000","0.000","146.000","0.000","0.000","97107.879","0.000","0.000","1556.968","0.000","0.000","","","","","","","","","","","93772.000","231.845","32.100","6.933","4.631","21490.943","","191.511","13.170","","","","","77.020"
"LKA","Asia","Sri Lanka","12/1/2022 12:00:00 AM","671687.000","5.000","11.000","16805.000","2.000","1.143","30765.958","0.229","0.504","769.736","0.092","0.052","","","","","","","","","","","21832150.000","341.955","34.100","10.069","5.331","11669.077","0.700","197.093","10.680","0.300","27.000","","","76.980"
"MEX","North America","Mexico","12/1/2022 12:00:00 AM","7132792.000","7616.000","1088.000","330525.000","30.000","4.286","55941.659","59.731","8.533","2592.269","0.235","0.034","","","","","","","","","","","127504120.000","66.444","29.300","6.857","4.321","17336.469","2.500","152.783","13.060","6.900","21.400","87.847","","75.050"
"FRA","Europe","France","12/1/2022 12:00:00 AM","37955864.000","69253.000","53346.286","159095.000","76.000","65.000","559713.683","1021.235","786.668","2346.084","1.121","0.959","","","","","","","","","","","67813000.000","122.578","42.000","19.718","13.079","38605.671","","86.060","4.770","30.100","35.600","","","82.660"
"FRO","Europe","Faeroe Islands","12/1/2022 12:00:00 AM","34658.000","0.000","0.000","28.000","0.000","0.000","652484.139","0.000","0.000","527.138","0.000","0.000","","","","","","","","","","","53117.000","35.308","","","","","","","","","","","","80.670"
"GRL","North America","Greenland","12/1/2022 12:00:00 AM","11971.000","0.000","0.000","21.000","0.000","0.000","211898.609","0.000","0.000","371.721","0.000","0.000","","","","","","","","","","","56494.000","0.137","","","","","","199.941","2.160","","","","","71.700"
"SYC","Africa","Seychelles","12/1/2022 12:00:00 AM","50068.000","","","171.000","0.000","0.000","467335.605","","","1596.117","0.000","0.000","","","","","","","","","","","107135.000","208.354","36.200","8.606","5.586","26382.287","1.100","242.648","10.550","7.100","35.700","","","73.400"
"KEN","Africa","Kenya","12/1/2022 12:00:00 AM","341696.000","60.000","53.857","5684.000","0.000","0.000","6324.485","1.111","0.997","105.206","0.000","0.000","","","","","","","","","","","54027484.000","87.324","20.000","2.686","1.528","2993.028","36.800","218.637","2.920","1.200","20.400","24.651","","66.700"
"PYF","Oceania","French Polynesia","12/1/2022 12:00:00 AM","77137.000","152.000","44.286","649.000","0.000","0.000","251841.380","496.258","144.587","2118.893","0.000","0.000","","","","","","","","","","","306292.000","77.324","32.700","7.775","4.593","","","","22.630","","","","","77.660"
"VCT","North America","Saint Vincent and the Grenadines","12/1/2022 12:00:00 AM","9474.000","0.000","1.714","116.000","0.000","0.000","91132.081","0.000","16.490","1115.825","0.000","0.000","","","","","","","","","","","103959.000","281.787","31.800","7.724","4.832","10727.146","","252.675","11.620","","","","","72.530"
"ARM","Asia","Armenia","12/1/2022 12:00:00 AM","445737.000","","","8710.000","0.000","0.143","160309.832","","","3132.562","0.000","0.051","","","","","","","","","","","2780472.000","102.931","35.700","11.232","7.571","8787.580","1.800","341.010","7.110","1.500","52.100","94.043","","75.090"
"PNG","Oceania","Papua New Guinea","12/1/2022 12:00:00 AM","46182.000","36.000","51.857","668.000","0.000","0.000","4553.259","3.549","5.113","65.861","0.000","0.000","","","","","","","","","","","10142625.000","18.220","22.600","3.808","2.142","3823.194","","561.494","17.650","23.500","48.800","","","64.500"
"LTU","Europe","Lithuania","12/1/2022 12:00:00 AM","1276600.000","524.000","345.000","9434.000","0.000","1.571","464208.391","190.541","125.452","3430.473","0.000","0.571","","","","","","","","","","","2750058.000","45.135","43.500","19.002","13.778","29524.265","0.700","342.989","3.670","21.300","38.000","","","75.930"
"ISL","Europe","Iceland","12/1/2022 12:00:00 AM","207101.000","","","219.000","0.000","0.000","555374.990","","","587.284","0.000","0.000","","","","","","","","","","","372903.000","3.404","37.300","14.431","9.207","46482.958","0.200","117.992","5.310","14.300","15.200","","","82.990"
"IRN","Asia","Iran","12/1/2022 12:00:00 AM","7559737.000","31.000","38.571","144634.000","1.000","0.143","85371.976","0.350","0.436","1633.349","0.011","0.002","","","","","","","","","","","88550568.000","49.831","32.400","5.440","3.182","19082.620","0.200","270.308","9.590","0.800","21.100","","","76.680"
"ZMB","Africa","Zambia","12/1/2022 12:00:00 AM","333746.000","0.000","3.571","4019.000","0.000","0.000","16672.570","0.000","0.178","200.773","0.000","0.000","","","","","","","","","","","20017670.000","22.995","17.700","2.480","1.542","3689.251","57.500","234.499","3.940","3.100","24.700","13.938","","63.890"
"CMR","Africa","Cameroon","12/1/2022 12:00:00 AM","123993.000","0.000","0.000","1965.000","0.000","0.000","4441.878","0.000","0.000","70.393","0.000","0.000","","","","","","","","","","","27914542.000","50.885","18.800","3.165","1.919","3364.926","23.800","244.661","7.200","","","2.735","","59.290"
"IND","Asia","India","12/1/2022 12:00:00 AM","44674138.000","275.000","298.571","530624.000","2.000","2.857","31523.416","0.194","0.211","374.424","0.001","0.002","","","","","","","","","","","1417173120.000","450.419","28.200","5.989","3.414","6426.674","21.200","282.280","10.390","1.900","20.600","59.550","","69.660"
