"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy"
"EST","Europe","Estonia","2/1/2022 12:00:00 AM","344060.000","6517.000","6064.571","2037.000","4.000","3.429","259631.086","4917.793","4576.386","1537.140","3.018","2.587","","","","","","","","","","","1325188.000","31.033","42.700","19.452","13.491","29481.252","0.500","255.569","4.020","24.500","39.300","","","78.740"
"BEN","Africa","Benin","2/1/2022 12:00:00 AM","26450.000","","","163.000","0.000","0.000","2124.322","","","13.091","0.000","0.000","","","","","","","","","","","12451031.000","99.110","18.800","3.244","1.942","2064.236","49.600","235.848","0.990","0.600","12.300","11.035","","61.770"
"GGY","Europe","Guernsey","2/1/2022 12:00:00 AM","","","","","","","","","","","","","","","","","","","","","","","63385.000","","","","","","","","","","","","",""
"UZB","Asia","Uzbekistan","2/1/2022 12:00:00 AM","224023.000","1015.000","1119.571","1568.000","4.000","3.286","6601.384","29.909","32.991","46.205","0.118","0.097","","","","","","","","","","","33935765.000","76.134","28.200","4.469","2.873","6253.104","","724.417","7.570","1.300","24.700","","","71.720"
"DZA","Africa","Algeria","2/1/2022 12:00:00 AM","253520.000","1403.000","1730.571","6593.000","14.000","11.000","5682.187","31.446","38.788","147.770","0.314","0.247","","","","","","","","","","","44616626.000","17.348","29.100","6.211","3.857","13913.839","0.500","278.364","6.730","0.700","30.400","83.741","","76.880"
"RWA","Africa","Rwanda","2/1/2022 12:00:00 AM","128933.000","42.000","79.286","1444.000","4.000","1.571","9711.357","3.163","5.972","108.763","0.301","0.118","","","","","12353.000","0.930","155.800","0.006","samples tested","","13276517.000","494.869","20.300","2.974","1.642","1854.211","56.000","191.375","4.280","4.700","21.000","4.617","","69.020"
"ARG","South America","Argentina","2/1/2022 12:00:00 AM","8427778.000","49122.000","55179.714","121513.000","240.000","258.571","184796.095","1077.099","1209.927","2664.419","5.262","5.670","","","","","","","","","","","45605823.000","16.177","31.900","11.198","7.441","18933.907","0.600","191.032","5.500","16.200","27.700","","","76.670"
"IRN","Asia","Iran","2/1/2022 12:00:00 AM","6408244.000","35070.000","20097.857","132504.000","50.000","32.857","75365.606","412.449","236.365","1558.343","0.588","0.386","97163.000","44886634.000","527.899","1.143","93667.000","1.102","4.700","0.215","tests performed","","85028760.000","49.831","32.400","5.440","3.182","19082.620","0.200","270.308","9.590","0.800","21.100","","","76.680"
"GIN","Africa","Guinea","2/1/2022 12:00:00 AM","36166.000","","","419.000","0.000","0.429","2679.511","","","31.043","0.000","0.032","","","","","","","","","","","13497237.000","51.755","19.000","3.135","1.733","1998.926","35.300","336.717","2.420","","","17.450","","61.600"
"KWT","Asia","Kuwait","2/1/2022 12:00:00 AM","552153.000","6436.000","6254.429","2499.000","2.000","1.571","127560.642","1486.871","1444.924","577.329","0.462","0.363","","","","","","","","","","","4328553.000","232.128","33.700","2.345","1.114","65530.537","","132.235","15.840","2.700","37.000","","","75.490"
"NPL","Asia","Nepal","2/1/2022 12:00:00 AM","957570.000","3657.000","4241.429","11752.000","9.000","12.143","32268.663","123.235","142.930","396.025","0.303","0.409","","","","","","","","","","","29674920.000","204.430","25.000","5.809","3.212","2442.804","15.000","260.797","7.260","9.500","37.800","47.782","","70.780"
"HTI","North America","Haiti","2/1/2022 12:00:00 AM","29323.000","106.000","108.857","876.000","90.000","13.286","2540.617","9.184","9.432","75.899","7.798","1.151","","","","","","","","","","","11541683.000","398.448","24.300","4.800","2.954","1653.173","23.500","430.548","6.650","2.900","23.100","22.863","","64.000"
"MYS","Asia","Malaysia","2/1/2022 12:00:00 AM","2876324.000","5566.000","5157.000","31985.000","7.000","9.571","87756.495","169.818","157.340","975.861","0.214","0.292","","","","","","","","","","","32776195.000","96.254","29.900","6.293","3.407","26808.164","0.100","260.942","16.740","1.000","42.400","","","76.160"
"GMB","Africa","Gambia","2/1/2022 12:00:00 AM","11863.000","21.000","41.571","364.000","2.000","2.429","4770.125","8.444","16.716","146.365","0.804","0.977","","139940.000","56.270","","289.000","0.116","7.000","0.144","tests performed","","2486937.000","207.566","17.500","2.339","1.417","1561.767","10.100","331.430","1.910","0.700","31.200","7.876","","62.050"
"LTU","Europe","Lithuania","2/1/2022 12:00:00 AM","688685.000","9172.000","10127.429","7898.000","26.000","16.571","256029.863","3409.840","3765.036","2936.210","9.666","6.161","","","","","","","","","","57.410","2689862.000","45.135","43.500","19.002","13.778","29524.265","0.700","342.989","3.670","21.300","38.000","","","75.930"
"PYF","Oceania","French Polynesia","2/1/2022 12:00:00 AM","48266.000","","","636.000","0.000","0.000","170832.537","","","2251.057","0.000","0.000","","","","","","","","","","","282534.000","77.324","32.700","7.775","4.593","","","","22.630","","","","","77.660"
"COM","Africa","Comoros","2/1/2022 12:00:00 AM","7832.000","0.000","2.571","160.000","0.000","0.143","8815.293","0.000","2.894","180.088","0.000","0.161","","","","","","","","","","","888456.000","437.352","20.400","2.963","1.726","1413.890","18.100","261.516","11.880","4.400","23.600","15.574","","64.320"
"TZA","Africa","Tanzania","2/1/2022 12:00:00 AM","33230.000","","","789.000","","","540.339","","","12.830","","","","","","","","","","","","","61498438.000","64.699","17.700","3.108","1.874","2683.304","49.100","217.288","5.750","3.300","26.700","47.953","","65.460"
"USA","North America","United States","2/1/2022 12:00:00 AM","75350359.000","398914.000","430988.571","890770.000","3622.000","2529.857","226335.077","1198.246","1294.590","2675.667","10.880","7.599","","","","","","","","","","58.800","332915074.000","35.608","38.300","15.413","9.732","54225.446","1.200","151.089","10.790","19.100","24.600","","","78.860"
"EGY","Africa","Egypt","2/1/2022 12:00:00 AM","428202.000","2291.000","2092.000","22683.000","48.000","36.000","4107.125","21.974","20.066","217.565","0.460","0.345","","","","","","","","","","","104258327.000","97.999","25.300","5.159","2.891","10550.206","1.300","525.432","17.310","0.200","50.100","89.827","","71.990"
"NER","Africa","Niger","2/1/2022 12:00:00 AM","8655.000","3.000","7.429","301.000","3.000","0.571","344.398","0.119","0.296","11.977","0.119","0.023","","","","","","","","","","","25130810.000","16.955","15.100","2.553","1.378","926.000","44.500","238.339","2.420","0.100","15.400","8.978","","62.420"
